Timestamp,Temperature,CORE 1(%),CORE 2(%),CORE 3(%),CORE 4(%),CORE 1(MHZ),CORE 2(MHZ),CORE 3(MHZ),CORE 4(MHZ),Available Mem (MHZ),CPU (%),MEM (%)
2019-11-12 21:23:09.500758,55.3,0.0,2.0,5.1,0.0,1200.0,1200.0,1200.0,1200.0,469106688,0.0,0.2
2019-11-12 21:53:10.590670,53.7,3.2,0.0,2.0,0.0,600.0,600.0,600.0,600.0,474411008,0.0,0.2
2019-11-12 22:23:11.630140,52.6,7.2,2.0,2.0,1.0,600.0,600.0,600.0,600.0,467927040,0.0,0.2
2019-11-12 22:53:12.663977,51.5,4.1,5.0,0.0,0.0,600.0,600.0,600.0,600.0,467501056,0.0,0.2
2019-11-12 23:23:13.759612,52.6,1.0,7.0,0.0,0.0,600.0,600.0,600.0,600.0,467181568,0.0,0.2
2019-11-12 23:53:14.790583,54.2,1.0,4.0,3.0,0.0,600.0,600.0,600.0,600.0,466968576,0.0,0.2
2019-11-13 00:23:15.918704,55.8,1.0,1.0,0.0,2.0,600.0,600.0,600.0,600.0,466636800,0.0,0.2
2019-11-13 00:53:16.945776,55.8,4.1,4.1,0.0,0.0,600.0,600.0,600.0,600.0,466649088,0.0,0.2
2019-11-13 01:23:17.981280,55.8,2.1,1.0,0.0,0.0,600.0,600.0,600.0,600.0,461189120,0.0,0.2
2019-11-13 01:53:19.106112,56.4,4.2,0.0,0.0,0.0,600.0,600.0,600.0,600.0,461217792,0.0,0.2
2019-11-13 02:23:20.140774,56.9,1.0,3.0,3.0,0.0,600.0,600.0,600.0,600.0,461037568,0.0,0.2
2019-11-13 02:53:21.167925,56.9,6.2,2.0,0.0,3.0,600.0,600.0,600.0,600.0,460627968,0.0,0.2
2019-11-13 03:23:22.293835,56.9,3.2,0.0,3.0,0.0,600.0,600.0,600.0,600.0,460419072,0.0,0.2
2019-11-13 03:53:23.323071,56.9,1.0,4.0,3.0,0.0,600.0,600.0,600.0,600.0,460103680,0.0,0.2
2019-11-13 04:23:24.448621,56.9,4.2,0.0,0.0,1.0,600.0,600.0,600.0,600.0,459743232,0.0,0.2
2019-11-13 04:53:25.514720,56.9,4.2,4.0,0.0,0.0,600.0,600.0,600.0,600.0,460107776,0.0,0.2
2019-11-13 05:23:26.635921,57.5,2.1,3.0,3.0,0.0,600.0,600.0,600.0,600.0,464674816,0.0,0.2
2019-11-13 05:53:27.674780,56.9,1.1,4.0,1.0,0.0,600.0,600.0,600.0,600.0,464498688,0.0,0.2
2019-11-13 06:23:28.769727,56.9,1.1,0.0,0.0,4.0,600.0,600.0,600.0,600.0,470519808,0.0,0.2
2019-11-13 06:53:29.823161,57.5,6.3,0.0,0.0,0.0,600.0,600.0,600.0,600.0,470347776,0.0,0.2
2019-11-13 07:23:30.947599,56.9,4.1,0.0,1.0,0.0,600.0,600.0,600.0,600.0,474382336,0.0,0.2
2019-11-13 07:53:31.976548,57.5,3.2,3.0,0.0,0.0,600.0,600.0,600.0,600.0,463826944,0.0,0.2
2019-11-13 08:23:33.071361,56.9,5.2,4.0,0.0,0.0,600.0,600.0,600.0,600.0,464265216,0.0,0.2
2019-11-13 08:53:34.141117,57.5,1.0,1.0,0.0,0.0,600.0,600.0,600.0,600.0,463343616,0.0,0.2
2019-11-13 09:23:35.186046,56.9,4.2,1.0,1.0,0.0,600.0,600.0,600.0,600.0,464236544,0.0,0.2
2019-11-13 09:53:36.275824,56.9,7.3,1.0,0.0,0.0,600.0,600.0,600.0,600.0,463970304,0.0,0.2
2019-11-13 10:23:37.400799,58.0,3.1,2.0,0.0,1.0,600.0,600.0,600.0,600.0,463523840,0.0,0.2
2019-11-13 10:53:38.430800,58.0,3.2,1.0,0.0,0.0,600.0,600.0,600.0,600.0,457854976,0.0,0.2
2019-11-13 11:23:39.455970,56.9,1.0,1.0,0.0,5.2,600.0,600.0,600.0,600.0,457420800,0.0,0.2
2019-11-13 11:53:40.506096,55.8,6.5,9.1,3.1,6.1,1200.0,1200.0,1200.0,1200.0,457494528,0.0,0.2
2019-11-13 12:23:41.622220,54.8,0.0,3.1,0.0,0.0,600.0,600.0,600.0,600.0,457920512,0.0,0.2
2019-11-13 12:53:42.653485,54.2,3.2,2.0,0.0,0.0,600.0,600.0,600.0,600.0,458293248,0.0,0.2
2019-11-13 13:23:43.764215,54.8,5.3,0.0,0.0,0.0,600.0,600.0,600.0,600.0,463753216,0.0,0.2
2019-11-13 13:53:44.796134,53.7,6.2,1.0,0.0,0.0,600.0,600.0,600.0,600.0,457252864,0.0,0.2
2019-11-13 14:23:45.880197,55.8,4.1,3.1,0.0,0.0,600.0,600.0,600.0,600.0,450220032,0.0,0.2
2019-11-13 14:53:47.000181,54.8,3.2,3.0,1.0,0.0,600.0,600.0,600.0,600.0,457510912,0.0,0.2
